"MERITVE";"SKUPINE";"LETO";Indeksi cen življenjskih potrebšèin in letne stopnje rasti cen
"Letne stopnje rasti cen (%)";"12 Raznovrstno blago in storitve";"2021";-2.1
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2000";5.5
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2001";9.2
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2002";7.5
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2003";4.6
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2004";0.5
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2005";-0.8
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2006";2.3
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2007";7.8
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2008";10.1
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2009";0.6
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2010";1.0
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2011";4.4
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2012";4.1
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2013";3.6
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2014";-0.3
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2015";0.9
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2016";0.9
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2017";2.2
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2018";2.7
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2019";1.6
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2020";3.5
"Povpreène letne stopnje rasti cen (%)";"01 Hrana in brezalkoholne pijaèe";"2021";-0.2
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2000";4.3
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2001";7.6
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2002";14.3
"Povpreène letne stopnje rasti cen (%)";"02 Alkoholne pijaèe in tobak";"2003";12.6
